seed,trial_id,sinkage_init,friction,escape_dir_x,escape_dir_y,escaped,time_to_escape,final_proj,entrapped_steps,failure_mode,terminal_x,terminal_y,terminal_z
0,25,0.20527972123037982,0.2550533630038444,0.9995254278182983,-0.030804691836237907,True,74,3.050128936767578,0,ESCAPED,1.0513137847067322,-0.008548185099832802,-0.0020736338224880335
0,26,0.27336267774190953,0.215011284827274,0.04854268208146095,-0.9988210797309875,False,-1,1.8004688024520874,0,timeout_no_progress,19.75502391314616,-0.7453002605103798,-0.014100122086620608
0,27,0.21466495041339048,0.23232804004919258,0.22295837104320526,-0.9748279452323914,True,215,3.010768413543701,0,ESCAPED,9.125381989036162,-0.5439638262571646,-0.018631904548538806
0,28,0.20390526041623722,0.2836208929471823,-0.24172821640968323,-0.9703440070152283,False,-1,-3.6780519485473633,0,lateral_OOB,20.173947614121207,-1.7334231095416661,-0.01233150389739916
0,29,0.2711677592597392,0.1287331583202263,-0.1314702033996582,-0.9913201332092285,False,-1,-2.2716569900512695,0,no_progress,19.106124886743952,-0.5075750964072525,-0.01208848389708928
0,30,0.2705651107211928,0.3419815474811616,0.995733916759491,0.09227100014686584,True,71,3.0464417934417725,0,ESCAPED,1.0646500750115608,-0.05564037188813212,-0.03829802503038636
0,31,0.26227321173192486,0.34529876001658605,0.9640753269195557,-0.2656290531158447,True,72,3.0398662090301514,0,ESCAPED,1.1486998122836942,-0.016121975841454153,-0.05269642019573418
0,32,0.16933932159022472,0.34315720345573875,0.7702550888061523,-0.637735903263092,True,86,3.032365322113037,0,ESCAPED,1.9361806394201075,-0.0007871679699530276,-0.03907952488981496
0,33,0.2569085975805992,0.21999698095195802,0.11052792519330978,0.9938730001449585,False,-1,2.5900888442993164,0,timeout_no_progress,20.05519184745076,0.15331358675333837,-0.015091957908763137
0,34,0.25424447523338006,0.33088253994586736,-0.10117607563734055,0.9948685169219971,False,-1,-8.931985855102539,0,lateral_OOB,17.33097794170149,-7.012136036099,-0.2184948679006731
0,35,0.2200614729908843,0.21068820724363285,0.9075301289558411,-0.4199869930744171,True,84,3.048363208770752,0,ESCAPED,1.3821216789150617,0.05003457184848492,-0.21858095031018895
0,36,0.1552663924544965,0.2830015489141402,-0.7527095079421997,-0.658352792263031,False,-1,-15.836498260498047,0,no_progress,19.962490395642046,-1.0554795277509965,-0.012880847619586577
0,37,0.15368749746475774,0.27980494320668503,0.9949562549591064,0.10031001269817352,True,75,3.013549566268921,0,ESCAPED,1.0314953982238668,-0.026476651905830352,0.02734105666829364
0,38,0.24853363030633568,0.2281896808155195,0.9024162888526917,-0.43086519837379456,True,87,3.04841685295105,0,ESCAPED,1.3719173757779368,-0.012866688647444611,-0.015083916234632868
0,39,0.1585907245741297,0.31032931990309576,0.9134857654571533,0.40687063336372375,True,76,3.032498598098755,0,ESCAPED,1.3530092543597898,-0.07478441333518764,-0.1500938475058131
0,40,0.19476029724453628,0.2075746829869583,0.9773507714271545,-0.21162588894367218,True,82,3.042590379714966,0,ESCAPED,1.1129934452029948,-0.0004905112814566087,-0.01211841629540984
0,41,0.2230901394896994,0.16471614829273307,0.052279189229011536,0.9986324906349182,False,-1,1.7189351320266724,0,timeout_no_progress,19.587289344169456,0.5911775377763955,-0.02240486023032539
0,42,0.2654553816856934,0.1564673571043311,0.7090824246406555,0.705125629901886,True,106,3.0435166358947754,0,ESCAPED,2.2972589798424257,-0.0050974047615244215,-0.2422711843845632
0,43,0.1874829984109851,0.24653076620318318,-0.9428011178970337,-0.33335572481155396,False,-1,-20.570171356201172,0,no_progress,19.63982878068017,0.5043156574009022,-0.005488413666650839
0,44,0.25526240086866114,0.24011898800154644,-0.23906965553760529,0.9710023999214172,False,-1,-5.3387227058410645,0,no_progress,20.188710570457005,-0.03509296894988869,-0.016311827857035197
0,45,0.20367652454851606,0.30453024274272755,-0.7003821730613708,-0.7137680649757385,False,-1,-15.299684524536133,0,no_progress,20.166484524427236,-0.3156855220170503,-0.030200707396039663
0,46,0.2746800935506675,0.19235110277292022,-0.9458581805229187,-0.32458019256591797,False,-1,-20.660200119018555,0,no_progress,19.893190795615148,-0.14681367513484164,-0.01570376762778374
0,47,0.2272101462097119,0.312072802068765,0.6105533838272095,0.7919751405715942,True,106,3.025944948196411,0,ESCAPED,3.08277747726716,-0.09768239542625295,-0.013296691120744313
0,48,0.20284634377725647,0.3274897404155742,0.9636114239692688,0.26730698347091675,True,73,3.0402681827545166,0,ESCAPED,1.1737164518578802,-0.06719333547413289,-0.02712372268300038
0,49,0.25695181642359527,0.20384600934280617,0.48067405819892883,-0.8768993616104126,True,138,3.023951292037964,0,ESCAPED,4.239244751364029,-0.028404675568073433,-0.450854354680722
1,0,0.21653681121103338,0.3376159240814838,0.617070734500885,0.7869076728820801,True,109,3.0320229530334473,0,ESCAPED,3.1326713178010532,-0.17180965238306534,-0.014422369083447958
1,1,0.27332442812784175,0.17795786300262134,-0.8861835598945618,0.4633343815803528,False,-1,-18.928600311279297,0,no_progress,19.0002990480969,-0.6873645465010678,-0.41420923545884386
1,2,0.25760133719665745,0.20229978409229032,-0.9518423080444336,-0.30658799409866333,False,-1,-20.882909774780273,0,no_progress,19.958295764750183,-0.05846945980443357,-0.029635976197936658
1,3,0.1535826847215989,0.2883782771687016,-0.9714183807373047,-0.23737381398677826,False,-1,-21.502864837646484,0,no_progress,20.114478072829456,0.08616828514457721,-0.020948669332583856
1,4,0.192865123144882,0.29710717585710106,-0.32804468274116516,0.9446622133255005,False,-1,-7.744667053222656,0,no_progress,20.028500549262564,-0.5486986843977264,-0.019638170937760376
1,5,0.2089547256324847,0.1335104243117912,-0.8203582763671875,0.5718498826026917,False,-1,-17.498779296875,0,no_progress,19.147915058138363,-0.2621539101921045,-0.017252443796557684
1,6,0.17644918128789944,0.16557833511046238,0.0022913035936653614,-0.9999973773956299,False,-1,0.9156020283699036,0,timeout_no_progress,19.76325856953056,-0.8657380165173821,-0.01259720538590976
1,7,0.18645313853818518,0.22129774360790877,0.9926846027374268,-0.12073646485805511,True,75,3.004657745361328,0,ESCAPED,1.0278319750905636,0.00848536057570518,-0.026878932150413228
1,8,0.27501543517629234,0.2811974851933834,-0.966637372970581,-0.2561488151550293,False,-1,-21.340436935424805,0,no_progress,20.062453456887695,0.05482925507124603,-0.01479916900073343
1,9,0.1859958565258982,0.14016300219378172,0.9821993112564087,-0.18784163892269135,True,93,3.014392614364624,0,ESCAPED,1.068134350577512,-0.004649633057666264,-0.018431955471712273
1,10,0.21708891612122425,0.12896640311769259,-0.7137846946716309,-0.7003651857376099,False,-1,-16.232484817504883,0,lateral_OOB,17.761670729351298,3.036853241232235,-0.42226163699025554
1,11,0.25096880486449874,0.2532508252632601,0.8680010437965393,-0.4965623617172241,True,85,3.007323980331421,0,ESCAPED,1.4628803281610592,-0.0031015196089042812,-0.03408915681143162
1,12,0.15514707396634636,0.2321473158150054,-0.967536985874176,0.2527293860912323,False,-1,-21.34850311279297,0,no_progress,20.017894989672396,-0.17954446251637668,-0.020600208157042776
1,13,0.15810544528948384,0.26033204228484375,0.6010874509811401,-0.7991832494735718,True,109,3.023186206817627,0,ESCAPED,3.0208823901626642,-0.0065024902417975625,-0.02342639881470065
1,14,0.22708233235355693,0.1650243619343058,0.5351980924606323,-0.8447265625,True,130,3.0303122997283936,0,ESCAPED,3.5073112029199414,-0.09803152165780801,-0.014729371684763463
1,15,0.21623446459779622,0.22772222111663323,0.019038205966353416,-0.999818742275238,False,-1,0.1297796070575714,0,no_progress,20.233185577227392,0.29355352756907915,-0.016965889537492274
1,16,0.16922986465204434,0.3049066797798192,-0.40700310468673706,-0.9134267568588257,False,-1,-8.128442764282227,0,no_progress,20.63178183268437,-1.1853848903000197,-0.0160731616176201
1,17,0.2523226024021242,0.14790406475503382,0.32310980558395386,-0.9463614821434021,True,192,3.0174384117126465,0,ESCAPED,7.20517114115168,-0.04560325529815608,-0.0179040194573682
1,18,0.17487211038743602,0.12038815434087818,0.6140332818031311,-0.789280116558075,True,134,3.0090041160583496,0,ESCAPED,2.8488337793969483,-0.0401107529715829,-0.4718896205673327
1,19,0.2619668545030969,0.3191342741041451,-0.9844648838043213,0.17558152973651886,False,-1,-21.06222152709961,0,lateral_OOB,18.672916056712626,-4.04633038141755,-0.22454348293207577
1,20,0.18562629051978338,0.10177295715079157,-0.6093217730522156,-0.792923092842102,False,-1,-7.048450469970703,0,lateral_OOB,16.212417198092627,-5.106134219235898,-0.4299704901587133
